Variable,Indicador,Fuente,Tipo_Unidad_Medida,Unidad_medida,Capítulo (Red Cómo Vamos),Anillo,Capitulo (Bogotá),Entidad responsable,Metodo de recolección ,Descripción del indicador ,Observaciones
04-e-033,Tasa  de Deserción para el Sector Privado Primaria,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación. Oficina Asesora de Planeación - Grupo Gestión de la Información. Registro de Información  Estadística SED año 2014. Nota: El cálculo Incluye sólo la jornada diurna de los establecimientos de educación formal regular.,Registro Administrativo,"Mide los estudiantes vinculados al sistema educativo privado, en un año determinado, que abandonan el sistema educativo en el transcurso del año o al término del mismo en primaria ",.
04-e-034,Tasa de deserción educación secundaria pública,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Mide los estudiantes vinculados al sistema educativo (público y privado), en un año determinado, que abandonan el sistema educativo en el transcurso del año o al término del mismo en el grado secundaria. ",.
04-e-035,Tasa  de Deserción para el Sector Privado Secundaria,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación. Oficina Asesora de Planeación - Grupo Gestión de la Información. Registro de Información  Estadística SED año 2014. Nota: El cálculo Incluye sólo la jornada diurna de los establecimientos de educación formal regular.,Registro Administrativo,"Mide los estudiantes vinculados al sistema educativo privado, en un año determinado, que abandonan el sistema educativo en el transcurso del año o al término del mismo en el grado secundaria. ",.
04-e-036,Tasa de deserción educación media pública,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Mide los estudiantes vinculados al sistema educativo (público y privado), en un año determinado, que abandonan el sistema educativo en el transcurso del año o al término del mismo en el grado media vocacional. ",.
04-e-037,Tasa  de Deserción para el Sector Privado Media,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación. Oficina Asesora de Planeación - Grupo Gestión de la Información. Registro de Información  Estadística SED año 2014. Nota: El cálculo Incluye sólo la jornada diurna de los establecimientos de educación formal regular.,Registro Administrativo,"Mide los estudiantes vinculados al sistema educativo privado, en un año determinado, que abandonan el sistema educativo en el transcurso del año o al término del mismo en el nivel de educación media. ",.
04-e-038,"Tasa de repitencia en básica primaria, básica secundaria y media vocacional pública",Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Mide los estudiantes repitentes en un nivel educativo sobre los estudiantes matriculados en este nivel del  sector oficial,.
04-e-039,"Tasa de repitencia en básica primaria, básica secundaria y media vocacional privada",Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo, Se define como la proporción de estudiantes que están cursando el grado académico por segunda o más veces.,.
04-e-041,Tasa de repitencia preescolar pública,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo, Se define como la proporción de estudiantes que están cursando el grado académico por segunda o más veces.,.
04-e-042,Tasa de repitencia en preescolar para sector privado,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,"Secretaría de Educación. Oficina Asesora de Planeación - Grupo Gestión de la Información. Nota: El cálculo Incluye sólo la jornada diurna de los establecimientos de educación formal regular.
",Registro Administrativo,Es la relación existente entre el número de estudiantes que no fueron promocionados al grado siguiente y la población matriculada en ese grado específico.,.
04-e-043,Tasa de repitencia primaria pública,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo, Se define como la proporción de estudiantes que están cursando el grado académico por segunda o más veces.,.
04-e-044,Tasa de repitencia en primaria para sector privado,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,"Secretaría de Educación. Oficina Asesora de Planeación - Grupo Gestión de la Información. Nota: El cálculo Incluye sólo la jornada diurna de los establecimientos de educación formal regular.
",Registro Administrativo, Es la relación existente entre el número de estudiantes que no fueron promocionados al grado siguiente y la población matriculada en ese grado específico..,.
04-e-046,Tasa de repitencia secundaria pública,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo, Se define como la proporción de estudiantes que están cursando el grado académico por segunda o más veces.,.
04-e-047,Tasa de repitencia en secundaria para sector privado,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación, Es la relación existente entre el número de estudiantes que no fueron promocionados al grado siguiente y la población matriculada en ese grado específico..,,.
04-e-049,Tasa de repitencia media pública,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,"Secretaría de Educación. Oficina Asesora de Planeación - Grupo Gestión de la Información. Nota: El cálculo Incluye sólo la jornada diurna de los establecimientos de educación formal regular.
",Registro Administrativo, Es la relación existente entre el número de estudiantesque no fueron promocionados al grado siguiente y la población matriculada en ese grado específico..,.
04-e-051,Tasa de repitencia en media para sector privado,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,"Secretaría de Educación. Oficina Asesora de Planeación - Grupo Gestión de la Información. Nota: El cálculo Incluye sólo la jornada diurna de los establecimientos de educación formal regular.
",Registro Administrativo, Es la relación existente entre el número de estudiantesque no fueron promocionados al grado siguiente y la población matriculada en ese grado específico..,.
04-e-052,Años promedio de educación población de 15 a 24 años,DANE,Número,Años,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Encuesta,Años promedios de educación cursados por la personas entre 15 y 24  años,.
04-e-053,Tasa de analfabetismo de 15 a 24 años,DANE,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Encuesta,Mide la población de 15 a 24 años que no sabe leer ni escribir sobre la población total de 15 a 24 años,.
04-e-054,Relación Alumno docente preescolar pública,Secretaría de Educación,Número,Estudiantes,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Mide el número de alumnos que hay en el colegio por cada docente de aula en el nivel de preescolar,.
04-e-055,Relación Alumno docente primaria pública,Secretaría de Educación,Número,Estudiantes,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Mide el número de alumnos que hay en el colegio por cada docente de aula en el nivel de primaria,.
04-e-056,Relación Alumno docente básica secundaria y media pública,Secretaría de Educación,Número,Estudiantes,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Mide el número de alumnos que hay en el colegio por cada docente de aula en los nivles de básica secundaria y media,.
04-e-057,Relación Alumno docente total pública,Secretaría de Educación,Número,Estudiantes,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Mide el número de alumnos que hay en el colegio por cada docente de aula.,.
04-e-059,Número de estudiantes matriculados en carreras técnicas,Secretaría de Educación,Número,Estudiantes,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Encuesta,Mide el número de estudiantes matriculados en carreras técnicas,.
04-e-060,"Porcentaje de los colegios oficiales clasificados en las categorías ""A+ ""y ""A"" por rendimiento en las pruebas de Estado SABER 11",Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Porcentaje de Colegios oficiales que tuvieron un promedio de A+ y A frente al total de instituciones oficiales,.
04-e-061,"Porcentaje de los colegios oficiales clasificados en ""B "" por rendimiento en las pruebas de Estado SABER 11",Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Porcentaje de Colegios oficiales que tuvieron un promedio de ""B"" frente al total de instituciones oficiales",.
04-e-062,"Porcentaje de los colegios oficiales clasificados en ""C "" y ""D"" por rendimiento en las pruebas de Estado SABER 11",Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Porcentaje de Colegios oficiales que tuvieron un promedio de ""C"" y ""D"" frente al total de instituciones oficiales",.
04-e-063,"Porcentaje de los colegios NO oficiales clasificados en las categorías ""A+"" y ""A"" por rendimiento en las pruebas de Estado SABER 11",Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Porcentaje de Colegios NO oficiales que tuvieron un promedio de ""A+"" y ""A"" frente al total de instituciones oficiales",.
04-e-064,"Porcentaje de los colegios NO oficiales clasificados en categoría ""B"" por rendimiento en las pruebas de Estado SABER 11",Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Porcentaje de Colegios NO oficiales que tuvieron un promedio de ""B"" frente al total de instituciones oficiales",.
04-e-065,"Porcentaje de los colegios NO oficiales clasificados en ""C "" y ""D"" por rendimiento en las pruebas de Estado SABER 11",Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Porcentaje de Colegios NO oficiales que tuvieron un promedio de ""C"" y ""D"" frente al total de instituciones oficiales",.
04-e-066,"Porcentaje de los colegios en Concesión clasificados en ""A+ "" y ""A"" por rendimiento en las pruebas de Estado SABER 11",Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Porcentaje de Colegios en Concesión  que tuvieron un promedio de ""A+"" y ""A"" frente al total de estas instituciones ",.
04-e-067,"Porcentaje de los colegios en Concesión clasificados en ""B"" por rendimiento en las pruebas de Estado SABER 11",Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Porcentaje de Colegios en Concesión  que tuvieron un promedio de ""B"" frente al total de estas instiituciones",.
04-e-068,"Porcentaje de los colegios en concesión clasificados en ""C "" y ""D"" por rendimiento en las pruebas de Estado SABER 11",Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Porcentaje de Colegios en Concesión  que tuvieron un promedio de ""C"" y ""D"" frente al total de estas oficiales",.
04-e-069,"Porcentaje de los colegios en Convenio clasificados en ""A+ "" y ""A"" por rendimiento en las pruebas de Estado SABER 11",Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Porcentaje de Colegios en Convenio que tuvieron un promedio de ""A+"" y ""A"" frente al total de estas instituciones ",.
04-e-070,"Porcentaje de los colegios en Convenio clasificados en ""B"" por rendimiento en las pruebas de Estado SABER 11",Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Porcentaje de Colegios en Convenio que tuvieron un promedio de ""B"" frente al total de estas instituciones ",.
04-e-071,"Porcentaje de los colegios en Convenio clasificados en ""C "" y ""D"" por rendimiento en las pruebas de Estado SABER 11",Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Porcentaje de Colegios en Convenio que tuvieron un promedio de ""C""y ""D"" frente al total de estas instituciones ",.
04-e-072,"Porcentaje de los colegios en régimen especial clasificados en ""A+ "" y ""A"" por rendimiento en las pruebas de Estado SABER 11",Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Porcentaje de Colegios en régimen especial que tuvieron un promedio de ""A+""y ""A"" frente las demás instituciones de la localidad",.
04-e-073,"Porcentaje de los colegios en régimen especial clasificados en ""B"" por rendimiento en las pruebas de Estado SABER 11",Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Porcentaje de Colegios en régimen especial que tuvieron un promedio de ""B"" frente las demás instituciones de la localidad",.
04-e-074,"Porcentaje de los colegios en régimen especial clasificados en ""C "" y ""D"" por rendimiento en las pruebas de Estado SABER 11",Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Porcentaje de Colegios en régimen especial que tuvieron un promedio de ""C""y ""D"" frente las demás instituciones de la localidad",.
04-e-075,"Porcentaje de los colegios oficiales clasificados en las categorías alto, superior y muy superior por rendimiento en las pruebas de Estado SABER 11",Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Sumatoria de colegios-jornada oficiales con categoría de clasificación muy superior, superior o alto 7 total colegios-jornada oficial evaluados * 100 Nota: los datos de 2008-2011 son calculados con una nueva metodología, según resolución 489 de 2008; adicionalmente para 2011 hubo cambio nuevamente, resolución 569 de 2011 expedida por el ICFES. ",.
04-e-076,"Porcentaje de los colegios NO oficiales clasificados en las categorías alto, superior y muy superior por rendimiento en las pruebas de Estado SABER 11",Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Sumatoria de colegios-jornada NO oficiales con categoría de clasificación muy superior, superior o alto ",.
04-e-077,"Porcentaje de los colegios oficiales EN CONCESIÓN clasificados en las categorías alto, superior y muy superior por rendimiento en las pruebas de Estado SABER 11",Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Sumatoria de colegios-jornada en concesión con categoría de clasificación muy superior, superior o alto ",.
04-e-078,"Porcentaje de los colegios oficiales EN CONVENIO clasificados en las categorías alto, superior y muy superior por rendimiento en las pruebas de Estado SABER 11",Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Sumatoria de colegios-jornada en convenio con categoría de clasificación muy superior, superior o alto ",.
04-e-079,"Porcentaje de colegios oficiales en categoría medio, bajo, inferior y muy inferior en la prueba SABER 11. ",Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Sumatoria de colegios-jornada oficiales con categoría de clasificación medio, bajo, inferior y muy inferior en la prueba SABER 11. ",.
04-e-080,"Porcentaje de colegios NO oficiales en categoría medio, bajo, inferior y muy inferior en la prueba SABER 11. ",Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Sumatoria de colegios-jornada NO oficiales con categoría de clasificación medio, bajo, inferior y muy inferior en la prueba SABER 11. ",.
04-e-081,"Porcentaje de estudiantes que se ubicaron en el nivel avanzado, Pruebas SABER 3, area de Lenguajes",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 3 se ubicaron en la categoría AVANZADA, en el área de Lenguajes",.
04-e-082,"Porcentaje de estudiantes que se ubicaron en el nivel satisfactorio, Pruebas SABER 3, area de Lenguajes",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 3 se ubicaron en la categoría SATISFACTORIO, en el área de Lenguajes",.
04-e-083,"Porcentaje de estudiantes que se ubicaron en el nivel mínimo, Pruebas SABER 3, area de Lenguajes",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,Porcentaje de estudiantes que por su desempeño en las pruebas SABER 3 se ubicaron en la categoría MÍNIMA en el área de Lenguajes,.
04-e-084,"Porcentaje de estudiantes que se ubicaron en el nivel insuficiente, Pruebas SABER 3, area de Lenguajes",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,Porcentaje de estudiantes que por su desempeño en las pruebas SABER 3 se ubicaron en la categoría INSUFICIENTE en el área de Lenguajes,.
04-e-085,"Porcentaje de estudiantes que se ubicaron en el nivel avanzado, Pruebas SABER 5, area de Lenguajes",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 5 se ubicaron en la categoría AVANZADA, en el área de Lenguajes",.
04-e-086,"Porcentaje de estudiantes que se ubicaron en el nivel satisfactorio, Pruebas SABER 5, area de Lenguajes",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 5 se ubicaron en la categoría SATISFACTORIO, en el área de Lenguajes",.
04-e-087,"Porcentaje de estudiantes que se ubicaron en el nivel mínimo, Pruebas SABER 5, area de Lenguajes",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,Porcentaje de estudiantes que por su desempeño en las pruebas SABER 5 se ubicaron en la categoría MÍNIMA en el área de Lenguajes,.
04-e-088,"Porcentaje de estudiantes que se ubicaron en el nivel insuficiente, Pruebas SABER 5, area de Lenguajes",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,Porcentaje de estudiantes que por su desempeño en las pruebas SABER 5 se ubicaron en la categoría INSUFICIENTE en el área de Lenguajes,.
04-e-089,"Porcentaje de estudiantes que se ubicaron en el nivel avanzado, Pruebas SABER 9, area de Lenguajes",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 9 se ubicaron en la categoría AVANZADA, en el área de Lenguajes",.
04-e-090,"Porcentaje de estudiantes que se ubicaron en el nivel satisfactorio, Pruebas SABER 9, area de Lenguajes",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 9 se ubicaron en la categoría SATISFACTORIO, en el área de Lenguajes",.
04-e-091,"Porcentaje de estudiantes que se ubicaron en el nivel mínimo, Pruebas SABER 9, area de Lenguajes",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,Porcentaje de estudiantes que por su desempeño en las pruebas SABER 9 se ubicaron en la categoría MÍNIMA en el área de Lenguajes,.
04-e-092,"Porcentaje de estudiantes que se ubicaron en el nivel insuficiente, Pruebas SABER 9, area de Lenguajes",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,Porcentaje de estudiantes que por su desempeño en las pruebas SABER 9 se ubicaron en la categoría INSUFICIENTE en el área de Lenguajes,.
04-e-093,"Porcentaje de estudiantes que se ubicaron en el nivel avanzado, Pruebas SABER 3, area de Matemáticas",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 3 se ubicaron en la categoría AVANZADA, en el área de matemáticas",.
04-e-094,"Porcentaje de estudiantes que se ubicaron en el nivel satisfactorio, Pruebas SABER 3, area de Matemáticas",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 3 se ubicaron en la categoría SATISFACTORIO, en el área de Matemáticas",.
04-e-095,"Porcentaje de estudiantes que se ubicaron en el nivel mínimo, Pruebas SABER 3, area de Matemáticas",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 3 se ubicaron en la categoría MÍNIMA, en el área de Matemáticas",.
04-e-096,"Porcentaje de estudiantes que se ubicaron en el nivel insuficiente, Pruebas SABER 3, area de Matemáticas",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 3 se ubicaron en la categoría INSUFICIENTE, en el área de Matemáticas",.
04-e-097,"Porcentaje de estudiantes que se ubicaron en el nivel avanzado, Pruebas SABER 5, area de Matemáticas",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 5 se ubicaron en la categoría AVANZADA, en el área de Matemáticas",.
04-e-098,"Porcentaje de estudiantes que se ubicaron en el nivel satisfactorio, Pruebas SABER 5, area de Matemáticas",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 5 se ubicaron en la categoría SATISFACTORIO, en el área de Matemáticas",.
04-e-099,"Porcentaje de estudiantes que se ubicaron en el nivel mínimo, Pruebas SABER 5, area de Matemáticas",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 5 se ubicaron en la categoría MÍNIMA, en el área de Matemáticas",.
04-e-100,"Porcentaje de estudiantes que se ubicaron en el nivel insuficiente, Pruebas SABER 5, area de Matemáticas",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 5 se ubicaron en la categoría INSUFICIENTE, en el área de Matemáticas",.
04-e-101,"Porcentaje de estudiantes que se ubicaron en el nivel avanzado, Pruebas SABER 9, area de Matemáticas",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 9 se ubicaron en la categoría AVANZADA, en el área de Matemáticas",.
04-e-102,"Porcentaje de estudiantes que se ubicaron en el nivel satisfactorio, Pruebas SABER 9, area de Matemáticas",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 9 se ubicaron en la categoría SATISFACTORIO, en el área de Matemáticas",.
04-e-103,"Porcentaje de estudiantes que se ubicaron en el nivel mínimo, Pruebas SABER 9, area de Matemáticas",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 9 se ubicaron en la categoría MÍNIMA, en el área de Matemáticas",.
04-e-104,"Porcentaje de estudiantes que se ubicaron en el nivel insuficiente, Pruebas SABER 9, area de Matemáticas",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 9 se ubicaron en la categoría INSUFICIENTE, en el área de Matemáticas",.
04-e-105,"Porcentaje de estudiantes que se ubicaron en el nivel avanzado, Pruebas SABER 5, area de Ciencias Naturales",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 5 se ubicaron en la categoría AVANZADA, en el área de ciencias naturales",.
04-e-106,"Porcentaje de estudiantes que se ubicaron en el nivel satisfactorio, Pruebas SABER 5, area de Ciencias Naturales",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 5 se ubicaron en la categoría SATISFACTORIO, en el área de ciencias naturales",.
04-e-107,"Porcentaje de estudiantes que se ubicaron en el nivel mínimo, Pruebas SABER 5, area de Ciencias Naturales",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 5 se ubicaron en la categoría MÍNIMA, en el área de ciencias naturales",.
04-e-108,"Porcentaje de estudiantes que se ubicaron en el nivel insuficiente, Pruebas SABER 5, area de Ciencias Naturales",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 5 se ubicaron en la categoría INSUFICIENTE, en el área de ciencias naturales",.
04-e-109,"Porcentaje de estudiantes que se ubicaron en el nivel avanzado, Pruebas SABER 9, area de Ciencias Naturales",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 9 se ubicaron en la categoría AVANZADA, en el área de Ciencias Naturales",.
04-e-110,"Porcentaje de estudiantes que se ubicaron en el nivel satisfactorio, Pruebas SABER 9, area de Ciencias Naturales",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 9 se ubicaron en la categoría SATISFACTORIO, en el área de Ciencias Naturales",.
04-e-111,"Porcentaje de estudiantes que se ubicaron en el nivel mínimo, Pruebas SABER 9, area de Ciencias Naturales",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 9 se ubicaron en la categoría MÍNIMA, en el área de Ciencias Naturales",.
04-e-112,"Porcentaje de estudiantes que se ubicaron en el nivel insuficiente, Pruebas SABER 9, area de Ciencias Naturales",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 9 se ubicaron en la categoría INSUFICIENTE, en el área de Ciencias Naturales",.
04-e-113,Tasa de cobertura bruta en educación universitaria,Ministerio de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Ministerio de Educación Nacional,encuesta,Mide la población matriculada en carreras universitaria sobre la población de 17 a 24 años,.
05-ml-001,Tasa global de participacion,DANE,Porcentaje,Porción,5. Mercado laboral  ,Activos de las personas,5. Mercado Laboral,DANE,encuesta GEIH,Mide la Población Económicamente Activa PEA  sobre la  Población en Edad de Trabajar PET,.
05-ml-006,Tasa global de participación Multipropósito ,DANE,Porcentaje,Porción,5. Mercado laboral  ,Activos de las personas,5. Mercado Laboral,Secretaría Distrital de Planeación ,encuesta Multipropósito ,Mide la Población Económicamente Activa PEA  sobre la  Población en Edad de Trabajar PET,.
05-ml-002,Tasa de ocupación ,DANE,Porcentaje,Porción,5. Mercado laboral  ,Activos de las personas,5. Mercado Laboral,DANE,encuesta GEIH,Mide la Población Ocupada sobre la Población en Edad de Trabajar,.
05-ml-007,Tasa de Ocupación Multipropósito ,DANE,Porcentaje,Porción,5. Mercado laboral  ,Activos de las personas,5. Mercado Laboral,DANE,encuesta GEIH,Mide la Población Ocupada sobre la Población en Edad de Trabajar,.
05-ml-004,Tasa de desempleo,DANE,Porcentaje,Porción,5. Mercado laboral  ,Activos de las personas,5. Mercado Laboral,DANE,encuesta GEIH,Mide la Población Despcupada sobre la  Pobalción en Edad de Trabajar,.
05-ml-008,Tasa de Desempleo Multipropósito ,DANE,Porcentaje,Porción,5. Mercado laboral  ,Activos de las personas,5. Mercado Laboral,Secretaría Distrital de Planeación ,encuesta Multipropósito ,Mide la Población Despcupada sobre la  Pobalción en Edad de Trabajar,.
05-ml-009,Tasa de crecimiento del empleo,DANE,Porcentaje,Variación,5. Mercado laboral  ,Activos de las personas,5. Mercado Laboral,DANE,encuesta GEIH,Mide la tasa de crecimiento interanual del empleo,.
05-ml-010,Tasa de subempleo (objetivo),DANE,Porcentaje,Porción,5. Mercado laboral  ,Activos de las personas,5. Mercado Laboral,DANE,encuesta GEIH,Mide las personas ocupadas que quieren y pueden trabajar más tiempo del que usualmente le dedican a sus actividades remuneradas,.
05-ml-011,Tasa de desempleo Jefes de hogar ,DANE,Porcentaje,Porción,5. Mercado laboral  ,Activos de las personas,5. Mercado Laboral,DANE,encuesta,Mide el número de Jefes de Hogar desocupados sobre la Población Económicamente Activa,.
