Variable,ID,Indicador,Fuente,Tipo_Unidad_Medida,Unidad_medida,Capítulo..Red.Cómo.Vamos.,Anillo,Capitulo..Bogotá.,Entidad.responsable,Metodo.de.recolección,Descripción.del.indicador,Observaciones,ctype
04-e-067,v4_e_067,"Porcentaje de los colegios en Concesión clasificados en ""B"" por rendimiento en las pruebas de Estado SABER 11",Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Porcentaje de Colegios en Concesión  que tuvieron un promedio de ""B"" frente al total de estas instiituciones",.,Nu
04-e-068,v4_e_068,"Porcentaje de los colegios en concesión clasificados en ""C "" y ""D"" por rendimiento en las pruebas de Estado SABER 11",Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Porcentaje de Colegios en Concesión  que tuvieron un promedio de ""C"" y ""D"" frente al total de estas oficiales",.,Nu
04-e-069,v4_e_069,"Porcentaje de los colegios en Convenio clasificados en ""A+ "" y ""A"" por rendimiento en las pruebas de Estado SABER 11",Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Porcentaje de Colegios en Convenio que tuvieron un promedio de ""A+"" y ""A"" frente al total de estas instituciones",.,Nu
04-e-070,v4_e_070,"Porcentaje de los colegios en Convenio clasificados en ""B"" por rendimiento en las pruebas de Estado SABER 11",Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Porcentaje de Colegios en Convenio que tuvieron un promedio de ""B"" frente al total de estas instituciones",.,Nu
04-e-071,v4_e_071,"Porcentaje de los colegios en Convenio clasificados en ""C "" y ""D"" por rendimiento en las pruebas de Estado SABER 11",Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Porcentaje de Colegios en Convenio que tuvieron un promedio de ""C""y ""D"" frente al total de estas instituciones",.,Nu
04-e-072,v4_e_072,"Porcentaje de los colegios en régimen especial clasificados en ""A+ "" y ""A"" por rendimiento en las pruebas de Estado SABER 11",Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Porcentaje de Colegios en régimen especial que tuvieron un promedio de ""A+""y ""A"" frente las demás instituciones de la localidad",.,Nu
04-e-073,v4_e_073,"Porcentaje de los colegios en régimen especial clasificados en ""B"" por rendimiento en las pruebas de Estado SABER 11",Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Porcentaje de Colegios en régimen especial que tuvieron un promedio de ""B"" frente las demás instituciones de la localidad",.,Nu
04-e-074,v4_e_074,"Porcentaje de los colegios en régimen especial clasificados en ""C "" y ""D"" por rendimiento en las pruebas de Estado SABER 11",Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Porcentaje de Colegios en régimen especial que tuvieron un promedio de ""C""y ""D"" frente las demás instituciones de la localidad",.,Nu
04-e-075,v4_e_075,"Porcentaje de los colegios oficiales clasificados en las categorías alto, superior y muy superior por rendimiento en las pruebas de Estado SABER 11",Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Sumatoria de colegios-jornada oficiales con categoría de clasificación muy superior, superior o alto 7 total colegios-jornada oficial evaluados * 100 Nota: los datos de 2008-2011 son calculados con una nueva metodología, según resolución 489 de 2008; adicionalmente para 2011 hubo cambio nuevamente, resolución 569 de 2011 expedida por el ICFES.",.,Nu
04-e-076,v4_e_076,"Porcentaje de los colegios NO oficiales clasificados en las categorías alto, superior y muy superior por rendimiento en las pruebas de Estado SABER 11",Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Sumatoria de colegios-jornada NO oficiales con categoría de clasificación muy superior, superior o alto",.,Nu
04-e-077,v4_e_077,"Porcentaje de los colegios oficiales EN CONCESIÓN clasificados en las categorías alto, superior y muy superior por rendimiento en las pruebas de Estado SABER 11",Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Sumatoria de colegios-jornada en concesión con categoría de clasificación muy superior, superior o alto",.,Nu
04-e-078,v4_e_078,"Porcentaje de los colegios oficiales EN CONVENIO clasificados en las categorías alto, superior y muy superior por rendimiento en las pruebas de Estado SABER 11",Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Sumatoria de colegios-jornada en convenio con categoría de clasificación muy superior, superior o alto",.,Nu
04-e-079,v4_e_079,"Porcentaje de colegios oficiales en categoría medio, bajo, inferior y muy inferior en la prueba SABER 11.",Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Sumatoria de colegios-jornada oficiales con categoría de clasificación medio, bajo, inferior y muy inferior en la prueba SABER 11.",.,Nu
04-e-080,v4_e_080,"Porcentaje de colegios NO oficiales en categoría medio, bajo, inferior y muy inferior en la prueba SABER 11.",Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Sumatoria de colegios-jornada NO oficiales con categoría de clasificación medio, bajo, inferior y muy inferior en la prueba SABER 11.",.,Nu
04-e-081,v4_e_081,"Porcentaje de estudiantes que se ubicaron en el nivel avanzado, Pruebas SABER 3, area de Lenguajes",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 3 se ubicaron en la categoría AVANZADA, en el área de Lenguajes",.,Nu
04-e-082,v4_e_082,"Porcentaje de estudiantes que se ubicaron en el nivel satisfactorio, Pruebas SABER 3, area de Lenguajes",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 3 se ubicaron en la categoría SATISFACTORIO, en el área de Lenguajes",.,Nu
04-e-083,v4_e_083,"Porcentaje de estudiantes que se ubicaron en el nivel mínimo, Pruebas SABER 3, area de Lenguajes",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,Porcentaje de estudiantes que por su desempeño en las pruebas SABER 3 se ubicaron en la categoría MÍNIMA en el área de Lenguajes,.,Nu
04-e-084,v4_e_084,"Porcentaje de estudiantes que se ubicaron en el nivel insuficiente, Pruebas SABER 3, area de Lenguajes",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,Porcentaje de estudiantes que por su desempeño en las pruebas SABER 3 se ubicaron en la categoría INSUFICIENTE en el área de Lenguajes,.,Nu
04-e-085,v4_e_085,"Porcentaje de estudiantes que se ubicaron en el nivel avanzado, Pruebas SABER 5, area de Lenguajes",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 5 se ubicaron en la categoría AVANZADA, en el área de Lenguajes",.,Nu
04-e-086,v4_e_086,"Porcentaje de estudiantes que se ubicaron en el nivel satisfactorio, Pruebas SABER 5, area de Lenguajes",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 5 se ubicaron en la categoría SATISFACTORIO, en el área de Lenguajes",.,Nu
04-e-087,v4_e_087,"Porcentaje de estudiantes que se ubicaron en el nivel mínimo, Pruebas SABER 5, area de Lenguajes",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,Porcentaje de estudiantes que por su desempeño en las pruebas SABER 5 se ubicaron en la categoría MÍNIMA en el área de Lenguajes,.,Nu
04-e-088,v4_e_088,"Porcentaje de estudiantes que se ubicaron en el nivel insuficiente, Pruebas SABER 5, area de Lenguajes",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,Porcentaje de estudiantes que por su desempeño en las pruebas SABER 5 se ubicaron en la categoría INSUFICIENTE en el área de Lenguajes,.,Nu
04-e-089,v4_e_089,"Porcentaje de estudiantes que se ubicaron en el nivel avanzado, Pruebas SABER 9, area de Lenguajes",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 9 se ubicaron en la categoría AVANZADA, en el área de Lenguajes",.,Nu
04-e-090,v4_e_090,"Porcentaje de estudiantes que se ubicaron en el nivel satisfactorio, Pruebas SABER 9, area de Lenguajes",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 9 se ubicaron en la categoría SATISFACTORIO, en el área de Lenguajes",.,Nu
04-e-091,v4_e_091,"Porcentaje de estudiantes que se ubicaron en el nivel mínimo, Pruebas SABER 9, area de Lenguajes",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,Porcentaje de estudiantes que por su desempeño en las pruebas SABER 9 se ubicaron en la categoría MÍNIMA en el área de Lenguajes,.,Nu
04-e-092,v4_e_092,"Porcentaje de estudiantes que se ubicaron en el nivel insuficiente, Pruebas SABER 9, area de Lenguajes",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,Porcentaje de estudiantes que por su desempeño en las pruebas SABER 9 se ubicaron en la categoría INSUFICIENTE en el área de Lenguajes,.,Nu
04-e-093,v4_e_093,"Porcentaje de estudiantes que se ubicaron en el nivel avanzado, Pruebas SABER 3, area de Matemáticas",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 3 se ubicaron en la categoría AVANZADA, en el área de matemáticas",.,Nu
04-e-094,v4_e_094,"Porcentaje de estudiantes que se ubicaron en el nivel satisfactorio, Pruebas SABER 3, area de Matemáticas",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 3 se ubicaron en la categoría SATISFACTORIO, en el área de Matemáticas",.,Nu
04-e-095,v4_e_095,"Porcentaje de estudiantes que se ubicaron en el nivel mínimo, Pruebas SABER 3, area de Matemáticas",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 3 se ubicaron en la categoría MÍNIMA, en el área de Matemáticas",.,Nu
04-e-096,v4_e_096,"Porcentaje de estudiantes que se ubicaron en el nivel insuficiente, Pruebas SABER 3, area de Matemáticas",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 3 se ubicaron en la categoría INSUFICIENTE, en el área de Matemáticas",.,Nu
04-e-097,v4_e_097,"Porcentaje de estudiantes que se ubicaron en el nivel avanzado, Pruebas SABER 5, area de Matemáticas",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 5 se ubicaron en la categoría AVANZADA, en el área de Matemáticas",.,Nu
04-e-098,v4_e_098,"Porcentaje de estudiantes que se ubicaron en el nivel satisfactorio, Pruebas SABER 5, area de Matemáticas",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 5 se ubicaron en la categoría SATISFACTORIO, en el área de Matemáticas",.,Nu
04-e-099,v4_e_099,"Porcentaje de estudiantes que se ubicaron en el nivel mínimo, Pruebas SABER 5, area de Matemáticas",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 5 se ubicaron en la categoría MÍNIMA, en el área de Matemáticas",.,Nu
04-e-100,v4_e_100,"Porcentaje de estudiantes que se ubicaron en el nivel insuficiente, Pruebas SABER 5, area de Matemáticas",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 5 se ubicaron en la categoría INSUFICIENTE, en el área de Matemáticas",.,Nu
04-e-101,v4_e_101,"Porcentaje de estudiantes que se ubicaron en el nivel avanzado, Pruebas SABER 9, area de Matemáticas",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 9 se ubicaron en la categoría AVANZADA, en el área de Matemáticas",.,Nu
04-e-102,v4_e_102,"Porcentaje de estudiantes que se ubicaron en el nivel satisfactorio, Pruebas SABER 9, area de Matemáticas",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 9 se ubicaron en la categoría SATISFACTORIO, en el área de Matemáticas",.,Nu
04-e-103,v4_e_103,"Porcentaje de estudiantes que se ubicaron en el nivel mínimo, Pruebas SABER 9, area de Matemáticas",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 9 se ubicaron en la categoría MÍNIMA, en el área de Matemáticas",.,Nu
04-e-104,v4_e_104,"Porcentaje de estudiantes que se ubicaron en el nivel insuficiente, Pruebas SABER 9, area de Matemáticas",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 9 se ubicaron en la categoría INSUFICIENTE, en el área de Matemáticas",.,Nu
04-e-105,v4_e_105,"Porcentaje de estudiantes que se ubicaron en el nivel avanzado, Pruebas SABER 5, area de Ciencias Naturales",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 5 se ubicaron en la categoría AVANZADA, en el área de ciencias naturales",.,Nu
04-e-106,v4_e_106,"Porcentaje de estudiantes que se ubicaron en el nivel satisfactorio, Pruebas SABER 5, area de Ciencias Naturales",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 5 se ubicaron en la categoría SATISFACTORIO, en el área de ciencias naturales",.,Nu
04-e-107,v4_e_107,"Porcentaje de estudiantes que se ubicaron en el nivel mínimo, Pruebas SABER 5, area de Ciencias Naturales",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 5 se ubicaron en la categoría MÍNIMA, en el área de ciencias naturales",.,Nu
04-e-108,v4_e_108,"Porcentaje de estudiantes que se ubicaron en el nivel insuficiente, Pruebas SABER 5, area de Ciencias Naturales",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 5 se ubicaron en la categoría INSUFICIENTE, en el área de ciencias naturales",.,Nu
04-e-109,v4_e_109,"Porcentaje de estudiantes que se ubicaron en el nivel avanzado, Pruebas SABER 9, area de Ciencias Naturales",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 9 se ubicaron en la categoría AVANZADA, en el área de Ciencias Naturales",.,Nu
04-e-110,v4_e_110,"Porcentaje de estudiantes que se ubicaron en el nivel satisfactorio, Pruebas SABER 9, area de Ciencias Naturales",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 9 se ubicaron en la categoría SATISFACTORIO, en el área de Ciencias Naturales",.,Nu
04-e-111,v4_e_111,"Porcentaje de estudiantes que se ubicaron en el nivel mínimo, Pruebas SABER 9, area de Ciencias Naturales",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 9 se ubicaron en la categoría MÍNIMA, en el área de Ciencias Naturales",.,Nu
04-e-112,v4_e_112,"Porcentaje de estudiantes que se ubicaron en el nivel insuficiente, Pruebas SABER 9, area de Ciencias Naturales",ICFES,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,ICFES,Registro Administrativo,"Porcentaje de estudiantes que por su desempeño en las pruebas SABER 9 se ubicaron en la categoría INSUFICIENTE, en el área de Ciencias Naturales",.,Nu
04-e-113,v4_e_113,Tasa de cobertura bruta en educación universitaria,Ministerio de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Ministerio de Educación Nacional,encuesta,Mide la población matriculada en carreras universitaria sobre la población de 17 a 24 años,.,Nu
05-ml-001,v5_ml_001,Tasa global de participacion,DANE,Porcentaje,Porción,5. Mercado laboral,Activos de las personas,5. Mercado Laboral,DANE,encuesta GEIH,Mide la Población Económicamente Activa PEA  sobre la  Población en Edad de Trabajar PET,.,Nu
05-ml-006,v5_ml_006,Tasa global de participación Multipropósito,DANE,Porcentaje,Porción,5. Mercado laboral,Activos de las personas,5. Mercado Laboral,Secretaría Distrital de Planeación,encuesta Multipropósito,Mide la Población Económicamente Activa PEA  sobre la  Población en Edad de Trabajar PET,.,Nu
05-ml-002,v5_ml_002,Tasa de ocupación,DANE,Porcentaje,Porción,5. Mercado laboral,Activos de las personas,5. Mercado Laboral,DANE,encuesta GEIH,Mide la Población Ocupada sobre la Población en Edad de Trabajar,.,Nu
05-ml-007,v5_ml_007,Tasa de Ocupación Multipropósito,DANE,Porcentaje,Porción,5. Mercado laboral,Activos de las personas,5. Mercado Laboral,DANE,encuesta GEIH,Mide la Población Ocupada sobre la Población en Edad de Trabajar,.,Nu
05-ml-004,v5_ml_004,Tasa de desempleo,DANE,Porcentaje,Porción,5. Mercado laboral,Activos de las personas,5. Mercado Laboral,DANE,encuesta GEIH,Mide la Población Despcupada sobre la  Pobalción en Edad de Trabajar,.,Nu
05-ml-008,v5_ml_008,Tasa de Desempleo Multipropósito,DANE,Porcentaje,Porción,5. Mercado laboral,Activos de las personas,5. Mercado Laboral,Secretaría Distrital de Planeación,encuesta Multipropósito,Mide la Población Despcupada sobre la  Pobalción en Edad de Trabajar,.,Nu
05-ml-009,v5_ml_009,Tasa de crecimiento del empleo,DANE,Porcentaje,Variación,5. Mercado laboral,Activos de las personas,5. Mercado Laboral,DANE,encuesta GEIH,Mide la tasa de crecimiento interanual del empleo,.,Nu
05-ml-010,v5_ml_010,Tasa de subempleo (objetivo),DANE,Porcentaje,Porción,5. Mercado laboral,Activos de las personas,5. Mercado Laboral,DANE,encuesta GEIH,Mide las personas ocupadas que quieren y pueden trabajar más tiempo del que usualmente le dedican a sus actividades remuneradas,.,Nu
05-ml-011,v5_ml_011,Tasa de desempleo Jefes de hogar,DANE,Porcentaje,Porción,5. Mercado laboral,Activos de las personas,5. Mercado Laboral,DANE,encuesta,Mide el número de Jefes de Hogar desocupados sobre la Población Económicamente Activa,.,Nu
05-ml-012,v5_ml_012,Tasa de desempleo Jefes de hogar Multipropósito,DANE,Porcentaje,Porción,5. Mercado laboral,Activos de las personas,5. Mercado Laboral,DANE,Mide el número de Jefes de Hogar desocupados sobre la Población Económicamente Activa,NA,.,Nu
05-ml-003,v5_ml_003,Tasa de informalidad,DANE,Porcentaje,Porción,5. Mercado laboral,Activos de las personas,5. Mercado Laboral,DANE,encuesta,"Para el DANE, las características que permiten precisar la definición de empleo informal  son:  
1. Los empleados particulares y los obreros que laboran en establecimientos, negocios o empresas que ocupen hasta cinco personas en todas sus agencias y sucursales, incluyendo al patrono y/o socio; 2. Los trabajadores familiares sin remuneración; 3. Los trabajadores sin remuneración en empresas o negocios de otros hogares; 4. Los empleados domésticos 5. Los jornaleros o peones;  6. Los trabajadores por cuenta propia que laboran en establecimientos hasta cinco personas, excepto los independientes profesionales; 7. Los patrones o empleadores en empresas de cinco trabajadores o menos;  8. Se excluyen los obreros o empleados del gobierno.",.,Nu
05-ml-014,v5_ml_014,Tasa de Informalidad Multipropósito,DANE,Porcentaje,Porción,5. Mercado laboral,Activos de las personas,5. Mercado Laboral,DANE,encuesta Multipropósito,"Para el DANE, las características que permiten precisar la definición de empleo informal  son:  
1. Los empleados particulares y los obreros que laboran en establecimientos, negocios o empresas que ocupen hasta cinco personas en todas sus agencias y sucursales, incluyendo al patrono y/o socio; 2. Los trabajadores familiares sin remuneración; 3. Los trabajadores sin remuneración en empresas o negocios de otros hogares; 4. Los empleados domésticos 5. Los jornaleros o peones;  6. Los trabajadores por cuenta propia que laboran en establecimientos hasta cinco personas, excepto los independientes profesionales; 7. Los patrones o empleadores en empresas de cinco trabajadores o menos;  8. Se excluyen los obreros o empleados del gobierno.",.,Nu
05-ml-015,v5_ml_015,Tasa de cobertura en pensiones Multipropósito,DANE,Porcentaje,Porción,5. Mercado laboral,Activos de las personas,6. Seguridad y convivencia,DANE,encuesta Multipropósito,Mide el número de personas que aportan a pensiones sobre la  Población Económicamente Activa,.,Nu
06-sc-013,v6_sc_013,Número de adolescentes que vinculados al Sistema de Responsabilidad Penal para Adolescentes,ICBF,Número,Personas,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,Secretaría de Gobierno,Registro Administrativo,Número de Adolescentes que ingresan al SRPA,.,Nu
06-sc-014,v6_sc_014,Número de  hurtos a bancos,Policía Metropolitana,Número,Casos,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,Policia Metropolitana de Bogotá,Registro Administrativo,Mide el número de casos reportados en el año,.,Nu
06-sc-015,v6_sc_015,Tasa de hurto a bancos,Policía Metropolitana,Tasa,Por Cada 100.000 habitantes,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,Secretaría de Gobierno,Registro Administrativo,Estima la proporcion de hurto a bancos en un periodo determinado por 100.000 habitantes.,.,Nu
06-sc-016,v6_sc_016,Número de hurto a establecimientos de comercio,Policía Metropolitana,Número,Casos,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,Policia Metropolitana de Bogotá,Registro Administrativo,Estima la proporcion de hurto a bancos en un periodo determinado por 100.000 habitantes.,.,Nu
06-sc-017,v6_sc_017,Tasa de hurto a establecimientos de comercio,Policía Metropolitana,Tasa,Por Cada 100.000 habitantes,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,Secretaría de Gobierno,Registro Administrativo,Es la proporcion de hurto a establecimientos de comercio en un periodo determinado por 100.000 habitantes.,.,Nu
06-sc-018,v6_sc_018,Número de hurtos a motos,Policía Metropolitana,Número,Casos,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,Policia Metropolitana de Bogotá,Registro Administrativo,Expresa el número de hurto a motocicletas en un periodo determinado.,.,Nu
06-sc-012,v6_sc_012,Tasa de hurto de motocicletas,Policía Metropolitana,Tasa,Por Cada 100.000 motos,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,Secretaría de Gobierno,Registro Administrativo,Es la proporcion de hurto a motocicletas en un periodo determinado por 100.000 habitantes.,.,Nu
06-sc-019,v6_sc_019,Número de hurtos a personas,Policía Metropolitana,Número,Casos,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,Policia Metropolitana de Bogotá,Registro Administrativo,Expresa el número de hurto a personas en un periodo determinado.,.,Nu
06-sc-020,v6_sc_020,Tasa de hurto a personas,Policía Metropolitana,Tasa,Por Cada 100.000 motos,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,Secretaría de Gobierno,Registro Administrativo,Es la proporcion de hurto a personas en un periodo determinado por 100.000 habitantes.,.,Nu
06-sc-021,v6_sc_021,Número de hurtos a residencias,Policía Metropolitana,Número,Casos,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,Policia Metropolitana de Bogotá,Registro Administrativo,Expresa el número de hurto a residencias en un periodo determinado.,.,Nu
06-sc-022,v6_sc_022,Tasa de hurto a residencias,Policía Metropolitana,Tasa,Por Cada 100.000 motos,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,Secretaría de Gobierno,Registro Administrativo,Es la proporcion de hurto a residencias en un periodo determinado por 100.000 habitantes.,.,Nu
06-sc-023,v6_sc_023,Número de hurtos a vehículos,Policía Metropolitana,Número,Casos,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,Policia Metropolitana de Bogotá,Registro Administrativo,Expresa el número de hurto a vehiculos en un periodo determinado.,.,Nu
06-sc-011,v6_sc_011,Tasa de hurto a automóviles,Policía Metropolitana,Tasa,Por Cada 100.000 motos,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,Secretaría de Gobierno,Registro Administrativo,Es la proporcion de hurto a vehiculos en un periodo determinado por 100.000 habitantes.,.,Nu
06-sc-024,v6_sc_024,Número de Secuestros,Policía Metropolitana,Número,Casos,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,Secretaría de Gobierno,Registro Administrativo,Mide el número de casos de secuestro reportados en el año,.,Nu
06-sc-025,v6_sc_025,Número de lesiones Inter personales MUJERES,Instituto de Medicina Legal,Número,Casos,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,Instituto de Medicina Legal y Ciencias Forenses,Registro Administrativo,"Es el número de las lesiones causadas por cualquier tipo de arma, a excepción de las cometidas en accidente de tránsito. Por denuncia",.,Nu
06-sc-026,v6_sc_026,Número de lesiones Inter personales HOMBRES,Instituto de Medicina Legal,Número,Casos,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,Instituto de Medicina Legal y Ciencias Forenses,Registro Administrativo,"Es el número de las lesiones causadas por cualquier tipo de arma, a excepción de las cometidas en accidente de tránsito. Por denuncia",.,Nu
06-sc-027,v6_sc_027,Número de lesiones personales,Instituto de Medicina Legal,Número,Casos,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,Instituto de Medicina Legal y Ciencias Forenses,Registro Administrativo,"Es el número de alteración orgánica, funcional o psíquica, producida por la acción de un agente vulnerante ya sea físico (mecánico, térmico), químico, biológico o psicoló-
gico, utilizado por un tercero, sin que se produzca la muerte.",.,Nu
06-sc-006,v6_sc_006,Tasa de lesiones personales,Instituto de Medicina Legal,Tasa,Por cada 100000 habitantes,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,Instituto de Medicina Legal y Ciencias Forenses,Registro Administrativo,"Es la proporción de las lesiones causadas por cualquier tipo de arma, a excepción de las cometidas en accidente de tránsito.",.,Nu
06-sc-005,v6_sc_005,Tasa de Homicidios por cada 100 mil habitantes,Instituto Nacional de Medicina Legal,Tasa,Por cada 100000 habitantes,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,Secretaría de Gobierno,Registro Administrativo,Es la proporción de homicidios en relación al total de población por cada 100.000 habitantes,.,Nu
06-sc-028,v6_sc_028,Numero de homicidios,Instituto de Medicina Legal,Número,Casos,6. Seguridad ciudadana,Activos de las personas,6. Seguridad y convivencia,Medicina legal,Registro Administrativo,Mide el número total de homicidios.,.,Nu
